Value,Date,Name,Set,Ud
21154193.43,2014-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19470389.18,2014-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20268048.308,2014-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18269238.76,2014-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19216055.628,2014-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19338579.063,2014-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21057212.884,2014-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20063502.26,2014-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20064540.785,2014-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19727921.243,2014-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19641259.992,2014-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20714191.427,2014-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22530623.815,2015-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20656460.228,2015-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21074295.911,2015-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18803992.911,2015-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19799298.891,2015-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20304616.7,2015-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
23424579.224,2015-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20823877.831,2015-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19510557.681,2015-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19707647.872,2015-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19830873.138,2015-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20805948.8,2015-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21454209.324,2016-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20776593.364,2016-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21402936.889,2016-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19873850.267,2016-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19666744.267,2016-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20177973.198,2016-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
22172207.466,2016-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21387391.867,2016-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20771992.386,2016-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19798969.405,2016-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20591688.919,2016-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21291180.567,2016-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
23054073.154,2017-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19942324.665,2017-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21063493.095,2017-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18913940.051,2017-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20171667.077,2017-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21667694.547,2017-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
22400087.411,2017-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21756031.666,2017-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20132097.314,2017-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20149240.846,2017-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20883893.904,2017-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22144373.471,2017-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22584479.987,2018-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21265913.741,2018-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22067397.459,2018-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19900496.443,2018-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20040771.525,2018-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20297385.559,2018-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
22149741.39,2018-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21954433.999,2018-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20703131.981,2018-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20286500.168,2018-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20885833.162,2018-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21150639.671,2018-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
23270615.238,2019-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20114929.452,2019-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20688937.804,2019-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19484324.282,2019-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19874700.89,2019-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19955341.856,2019-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
22669762.289,2019-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21151475.071,2019-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19914049.646,2019-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20151139.859,2019-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20817466.448,2019-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20907495.766,2019-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22600097.04,2020-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19846700.657,2020-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19787240.723,2020-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
16146928.615,2020-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
17326120.299,2020-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
18295616.082,2020-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21901323.285,2020-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20688825.079,2020-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19368939.705,2020-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19615897.04,2020-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19647816.491,2020-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21313079.899,2020-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22763718.626,2021-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19226403.559,2021-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20726678.411,2021-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18866747.195,2021-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19252736.119,2021-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19556420.618,2021-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21548887.062,2021-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20642308.855,2021-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19658166.114,2021-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
18987782.898,2021-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20294631.299,2021-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20810633.924,2021-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21451525.494,2022-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19061280.677,2022-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20248393.975,2022-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18452956.412,2022-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19088179.615,2022-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19928661.51,2022-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21999895.768,2022-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20330818.021,2022-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
18906700.278,2022-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
10685070.08,2022-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
